name,symbol,quote,category,market_cap,price,volume_24h,circulating_supply
FLOKI,FLOKI,0.00011942664052375603,gaming,1144731706.6389353,0.00011942664052375603,104380745.03445867,9585229071324.57
Algorand,ALGO,0.1250813086369984,pos,1031808706.7851086,0.1250813086369984,18213362.98092797,8249103867.145701
Sei,SEI,0.29255065586177015,cosmos-ecosystem,1031200429.8446978,0.29255065586177015,129389738.64531301,3524861111
Pyth Network,PYTH,0.27940431215989986,oracles,1012837499.070881,0.27940431215989986,22490084.90838744,3624988788.616998
Celestia,TIA,4.72828554925689,platform,998521772.8725524,4.72828554925689,147579611.95590302,211180514.05112
Jupiter,JUP,0.7222915894270343,decentralized-exchange-dex-token,975093645.7264963,0.7222915894270343,39333866.18161079,1350000000
JasmyCoin,JASMY,0.01950613668146508,iot,961652532.0990541,0.01950613668146508,47302568.59359938,49299999677.16958
KuCoin Token,KCS,7.941416394924219,marketplace,936348354.8661684,7.941416394924219,616699.41553556,117906971.28847675
Bitcoin SV,BSV,45.96496219870013,mineable,908134641.936952,45.96496219870013,26667903.70409991,19757106.25
MANTRA,OM,1.0687586310062291,cosmos-ecosystem,900428671.273386,1.0687586310062291,14875097.49378244,842499555.2322589
Lido DAO,LDO,0.9918015194670811,defi,887933172.0013596,0.9918015194670811,47681615.48633049,895273050.6789984
Quant,QNT,72.8210167670512,platform,879149056.3222163,72.8210167670512,9825755.51350628,12072738
Ondo,ONDO,0.601611384142212,ethereum-ecosystem,836095340.0522234,0.601611384142212,215025482.3064991,1389759838.4783604
BitTorrent [New],BTT,8.478460192146264e-07,platform,820923880.0827014,8.478460192146264e-07,13529242.60054763,968246428571000
Flow,FLOW,0.5354685064357493,platform,820214102.6842968,0.5354685064357493,17156822.23438844,1531769082.2638774
Core,CORE,0.895976761256516,Desconocida,815178953.4796594,0.895976761256516,27178485.85002879,909821536.3716065
PayPal USD,PYUSD,0.999578743922544,stablecoin,771758637.4779956,0.999578743922544,26344614.37200742,772083882.505807
Nervos Network,CKB,0.01698901315214092,mineable,763543615.5456202,0.01698901315214092,609761959.0760016,44943376563.89418
Notcoin,NOT,0.00743769517999747,gaming,762173522.0814301,0.00743769517999747,76770402.21550035,102474423008.2429
Brett (Based),BRETT,0.0754369054465675,memes,747597565.882747,0.0754369054465675,10601014.32365855,9910236395
USDD,USDD,0.9947994031130502,stablecoin,729402506.0429189,0.9947994031130502,2729790.16068262,733215665.1485534
EOS,EOS,0.4792024582139642,medium-of-exchange,725946106.589512,0.4792024582139642,43338101.91594342,1514904805.1531
GateToken,GT,7.967340994427089,marketplace,724934262.2512358,7.967340994427089,992926.02634275,90988230.92400654
Beam,BEAM,0.01460895299404118,gaming,722646529.6933571,0.01460895299404118,18495241.69518827,49466004168
Flare,FLR,0.014698702811714951,layer-1,709770123.2708465,0.014698702811714951,2962742.86003139,48287942981.27829
MultiversX,EGLD,25.178793689437573,pos,687963758.2976484,25.178793689437573,9053625.82525523,27323142.11646474
Starknet,STRK,0.3858775792236303,zero-knowledge-proofs,686784060.0116241,0.3858775792236303,45991148.49305899,1779797783
Axie Infinity,AXS,4.521299571520425,collectibles-nfts,676578851.4315164,4.521299571520425,15360488.03977111,149642561.99550965
Popcat (SOL),POPCAT,0.6767964314199264,memes,663242354.2245008,0.6767964314199264,80782728.64006908,979973184.6
Neo,NEO,9.25202645360183,platform,652627130.4181489,9.25202645360183,19895991.0919993,70538831
ORDI,ORDI,30.77999513350132,bitcoin-ecosystem,646379897.8035277,30.77999513350132,86578021.77606516,21000000
Worldcoin,WLD,1.452302289435377,privacy,639692650.4595414,1.452302289435377,104003876.0709859,440467976.3386173
